timestamp,IL,avgCPU,avgRAM,#robots
1605182760.7,1,11.51,40.57,1
1605182762.111,1,17.61,40.6,1
1605182763.561,1,13.31,40.61,1
1605182764.973,1,13.63,40.64,1
1605182766.361,1,15.76,40.6,1
1605182767.771,1,16.66,40.6,1
1605182769.22,1,15.47,40.59,1
1605182770.63,1,17.64,40.6,1
1605182772.061,1,17.5,40.59,1
1605182773.471,1,17.37,40.6,1
1605182774.892,1,12.28,40.6,1
1605182776.283,1,10.56,40.6,1
1605182777.75,1,14.65,40.6,1
1605182779.121,1,13.27,40.6,1
1605182780.491,1,13.39,40.6,1
1605182781.92,1,11.54,40.6,1
1605182783.31,1,15.83,40.6,1
1605182784.74,1,13.13,40.6,1
1605182786.18,1,13.31,40.6,1
1605182787.591,1,16.1,40.61,1
1605182789.02,1,12.01,40.63,1
1605182790.45,1,13.67,40.63,1
1605182791.88,1,15.13,40.61,1
1605182793.31,1,15.38,40.61,1
1605182794.721,1,15.01,40.61,1
1605182796.15,1,15.24,40.6,1
1605182797.581,1,12.21,40.6,1
1605182799.011,1,13.84,40.6,1
1605182800.442,1,11.91,40.61,1
1605182801.52,1,17.19,40.61,1
1605182802.521,1,20.9,40.61,1
1605182803.521,1,22.22,40.6,1
1605182804.521,1,18.9,40.61,1
1605182805.541,1,21.82,40.6,1
1605182806.542,1,18.43,40.6,1
1605182807.54,1,22.0,40.61,1
1605182808.54,1,22.89,40.61,1
1605182809.54,1,18.88,40.61,1
1605182810.54,1,23.42,40.61,1
1605182811.541,1,15.65,40.6,1
1605182812.541,1,17.92,40.61,1
1605182814.501,1,21.41,40.61,1
1605182814.54,1,21.41,40.61,1
1605182815.541,1,22.12,40.6,1
1605182816.54,1,18.43,40.59,1
1605182817.54,1,21.5,40.6,1
1605182818.541,1,21.11,40.59,1
1605182819.562,1,19.05,40.59,1
1605182820.88,1,20.19,40.6,1
1605182822.334,1,18.47,40.59,1
1605182823.76,1,11.65,40.6,1
1605182825.154,1,15.08,40.6,1
1605182826.581,1,15.27,40.61,1
1605182827.991,1,14.96,40.6,1
1605182829.42,1,14.33,40.6,1
1605182830.84,1,16.23,40.6,1
1605182832.231,1,16.43,40.6,1
1605182833.681,1,15.72,40.6,1
1605182835.1,1,19.01,40.63,1
1605182836.531,1,53.8,42.58,1
1605182837.98,1,91.09,43.27,1
1605182839.411,1,96.5,44.2,1
1605182840.861,1,98.0,45.61,1
1605182842.29,1,63.2,45.96,1
1605182843.721,1,23.14,45.98,1
1605182845.15,1,15.03,45.97,1
1605182846.58,1,14.09,45.98,1
1605182848.0,1,15.29,45.97,1
1605182849.433,1,15.62,45.98,1
1605182850.861,1,13.83,45.98,1
1605182852.255,1,19.37,45.98,1
1605182853.699,1,18.69,46.0,1
1605182855.13,1,14.48,46.02,1
1605182856.56,1,15.51,46.01,1
1605182858.011,1,19.54,46.01,1
1605182859.442,1,18.4,46.01,1
1605182860.891,1,17.46,46.01,1
1605182862.012,1,16.98,46.01,1
1605182863.013,1,18.56,46.01,1
1605182864.012,1,13.78,46.01,1
1605182865.015,1,15.0,46.01,1
1605182866.032,1,17.95,46.01,1
1605182867.031,1,15.97,46.0,1
1605182868.032,1,20.41,46.01,1
1605182869.032,1,18.3,46.01,1
1605182870.031,1,17.91,46.03,1
1605182871.031,1,15.39,46.02,1
1605182872.032,1,11.69,46.02,1
1605182873.03,1,16.67,46.02,1
1605182874.032,1,16.15,46.02,1
1605182875.03,1,13.83,46.02,1
1605182876.031,1,13.93,46.04,1
1605182877.031,1,12.16,46.05,1
1605182878.05,1,16.38,46.07,1
1605182879.051,1,12.84,46.07,1
1605182880.053,1,17.02,46.05,1
1605182881.391,1,18.29,46.01,1
1605182882.86,1,25.82,46.01,1
1605182884.29,1,19.67,46.01,1
1605182885.72,1,17.01,46.02,1
1605182887.16,1,15.73,46.01,2
1605182888.632,1,17.1,46.01,1
1605182890.08,1,16.74,46.01,2
1605182891.52,1,18.04,46.03,2
1605182892.95,1,20.47,46.02,2
1605182894.45,1,20.14,46.03,2
1605182895.88,1,17.01,46.03,2
1605182897.312,1,20.8,46.04,2
1605182898.722,1,19.04,46.05,2
1605182900.18,1,19.45,46.07,2
1605182901.62,1,22.55,46.06,2
1605182903.05,1,20.42,46.04,2
1605182904.48,1,21.19,46.04,2
1605182905.93,1,17.59,46.04,2
1605182907.361,1,20.47,46.04,2
1605182908.83,1,18.61,46.04,2
1605182910.268,1,19.25,46.04,2
1605182911.75,1,18.05,46.04,2
1605182913.183,1,21.4,46.04,2
1605182914.609,1,21.46,46.04,2
1605182916.039,1,20.1,46.04,2
1605182917.51,1,16.38,46.04,2
1605182918.929,1,16.69,46.04,2
1605182920.41,1,17.28,46.04,2
1605182921.841,1,16.16,46.04,2
1605182922.94,1,21.09,46.04,2
1605182923.941,1,19.0,46.04,2
1605182924.941,1,18.62,46.04,1
1605182925.944,1,18.49,46.04,2
1605182926.94,1,16.54,46.06,2
1605182927.94,1,16.14,46.06,1
1605182928.941,1,17.9,46.07,2
1605182929.94,1,25.08,46.08,2
1605182930.961,1,19.29,46.09,2
1605182931.961,1,16.57,46.09,2
1605182932.96,1,15.98,46.09,2
1605182933.96,1,16.14,46.08,2
1605182934.961,1,19.61,46.09,2
1605182935.96,1,17.21,46.09,2
1605182936.96,1,17.61,46.08,2
1605182937.961,1,15.23,46.09,2
1605182938.96,1,15.44,46.08,2
1605182939.961,1,15.82,46.08,2
1605182940.961,1,15.59,46.09,2
1605182942.291,1,18.52,46.09,2
1605182943.543,1,18.03,46.08,2
1605182944.551,1,21.72,46.08,2
1605182945.529,1,20.31,46.09,1
1605182946.556,1,22.55,46.1,2
1605182947.551,1,22.29,46.08,2
1605182948.551,1,22.73,46.09,2
1605182949.55,1,23.39,46.09,1
1605182950.881,1,25.33,46.09,2
1605182952.341,1,21.04,46.1,2
1605182953.772,1,20.53,46.05,2
1605182955.2,1,23.36,46.04,2
1605182956.626,1,22.09,46.04,2
1605182958.051,1,19.22,46.04,2
1605182959.476,1,19.73,46.04,2
1605182960.919,1,20.14,46.04,2
1605182962.33,1,20.35,46.04,2
1605182963.759,1,17.35,46.05,2
1605182965.191,1,17.29,46.33,2
1605182966.59,1,62.55,48.19,2
1605182968.05,1,87.82,47.95,2
1605182969.552,1,97.0,48.66,2
1605182971.053,1,98.22,50.89,2
1605182972.5,1,85.02,51.36,2
1605182973.921,1,39.8,51.48,2
1605182975.379,1,25.11,51.47,2
1605182976.8,1,22.6,51.47,2
1605182978.249,1,33.97,51.49,2
1605182979.742,1,29.81,51.49,2
1605182981.18,1,23.19,51.49,2
1605182982.61,1,23.57,51.49,2
1605182983.8,1,23.24,51.49,2
1605182984.8,1,24.25,51.48,2
1605182985.802,1,24.92,51.48,1
1605182986.807,1,23.79,51.48,2
1605182987.801,1,25.02,51.48,2
1605182988.806,1,16.48,51.48,1
1605182989.8,1,25.01,51.55,2
1605182990.802,1,29.0,51.6,2
1605182991.802,1,25.06,51.6,2
1605182992.802,1,24.65,51.58,2
1605182993.805,1,25.11,51.57,2
1605182994.803,1,21.65,51.58,1
1605182995.802,1,23.12,51.58,2
1605182996.372,1,24.23,51.57,2
1605182997.37,1,23.91,51.6,2
1605182998.374,1,28.83,51.59,2
1605182999.371,1,25.93,51.58,2
1605183000.368,1,27.31,51.57,2
1605183001.37,1,25.79,51.61,2
1605183002.371,1,25.98,51.6,2
1605183003.37,1,23.2,51.61,1
1605183004.371,1,22.46,51.58,2
1605183005.371,1,19.5,51.59,2
1605183006.37,1,21.62,51.6,1
1605183007.369,1,19.93,51.6,2
1605183008.376,1,24.53,51.6,2
1605183009.389,1,29.13,51.59,1
1605183010.39,1,28.95,51.57,2
1605183011.757,1,25.46,51.58,2
1605183013.241,1,30.3,51.55,2
1605183014.699,1,29.91,51.51,2
1605183016.119,1,25.38,51.51,2
1605183017.531,1,22.18,51.53,3
1605183018.959,1,24.58,51.5,2
1605183020.412,1,19.69,51.54,3
1605183021.879,1,27.6,51.55,3
1605183023.359,1,26.31,51.55,3
1605183024.799,1,25.41,51.54,3
1605183026.239,1,25.85,51.54,3
1605183027.659,1,27.49,51.53,3
1605183029.069,1,27.25,51.53,3
1605183030.539,1,28.89,51.55,3
1605183031.949,1,24.61,51.56,3
1605183033.409,1,21.25,51.53,3
1605183034.88,1,26.88,51.53,3
1605183036.32,1,22.85,51.53,3
1605183037.732,1,23.47,51.54,3
1605183039.163,1,24.57,51.56,3
1605183040.609,1,23.59,51.56,3
1605183042.029,1,24.97,51.58,3
1605183043.489,1,24.22,51.56,3
1605183044.831,1,23.29,51.55,3
1605183045.831,1,24.77,51.55,2
1605183046.831,1,21.54,51.54,2
1605183047.831,1,19.58,51.53,3
1605183048.832,1,23.2,51.54,2
1605183049.832,1,25.09,51.54,3
1605183050.832,1,20.31,51.54,2
1605183051.834,1,23.85,51.56,2
1605183052.85,1,21.46,51.56,3
1605183053.852,1,21.24,51.57,3
1605183054.85,1,23.44,51.57,3
1605183055.851,1,18.75,51.57,2
1605183056.852,1,16.32,51.56,3
1605183057.851,1,18.71,51.57,3
1605183058.859,1,18.46,51.58,2
1605183059.851,1,20.72,51.55,3
1605183060.852,1,20.43,51.54,3
1605183061.851,1,19.28,51.55,3
1605183062.851,1,19.45,51.56,3
1605183064.203,1,18.95,51.57,3
1605183065.279,1,21.22,51.57,3
1605183066.28,1,22.31,51.58,3
1605183067.279,1,22.32,51.58,2
1605183068.28,1,21.3,51.57,3
1605183069.279,1,23.98,51.58,3
1605183070.284,1,22.55,51.58,2
1605183071.279,1,20.24,51.59,3
1605183072.665,1,20.95,51.6,3
1605183073.771,1,28.82,51.56,3
1605183074.766,1,29.9,51.55,2
1605183075.764,1,28.61,51.56,2
1605183076.768,1,29.76,51.55,3
1605183077.766,1,29.22,51.55,2
1605183078.77,1,27.44,51.55,2
1605183079.774,1,27.87,51.57,3
1605183080.767,1,33.68,51.56,3
1605183082.114,1,27.13,51.56,3
1605183083.557,1,22.49,51.56,3
1605183084.955,1,24.95,51.56,3
1605183086.386,1,26.91,51.56,3
1605183087.875,1,23.74,51.56,3
1605183089.306,1,26.24,51.57,3
1605183090.725,1,28.61,51.57,3
1605183092.174,1,22.97,51.56,3
1605183093.593,1,25.59,51.59,3
1605183095.069,1,41.91,52.09,3
1605183096.506,1,66.26,52.81,3
1605183098.045,1,90.0,53.92,3
1605183099.517,1,96.67,54.51,3
1605183100.934,1,98.67,55.95,3
1605183102.423,1,89.64,56.81,3
1605183103.883,1,51.23,56.99,3
1605183105.336,1,37.99,57.01,3
1605183106.783,1,27.18,57.04,3
1605183108.182,1,25.58,57.03,2
1605183109.181,1,26.12,57.01,3
1605183110.181,1,29.89,57.04,3
1605183111.181,1,30.9,57.04,1
1605183112.181,1,26.44,57.02,3
1605183113.182,1,29.59,57.01,3
1605183114.181,1,28.45,57.03,2
1605183115.183,1,29.79,57.02,3
1605183116.181,1,28.68,57.02,3
1605183117.182,1,26.95,57.03,2
1605183118.201,1,28.4,57.02,3
1605183119.203,1,30.39,57.03,3
1605183120.2,1,27.78,57.02,2
1605183121.201,1,27.34,57.01,2
1605183122.2,1,30.74,57.02,3
1605183122.788,1,33.4,57.04,3
1605183123.793,1,34.65,57.04,3
1605183124.791,1,31.8,57.03,2
1605183125.794,1,29.41,57.03,2
1605183126.801,1,31.24,57.03,3
1605183127.794,1,30.8,57.04,3
1605183128.794,1,25.77,57.08,2
1605183129.792,1,34.32,57.1,3
1605183130.797,1,35.31,57.08,3
1605183131.793,1,35.69,57.08,3
1605183132.793,1,33.01,57.05,2
1605183133.804,1,34.69,57.05,3
1605183134.826,1,28.3,57.03,3
1605183135.823,1,21.98,57.03,1
1605183136.824,1,25.72,57.02,3
1605183137.824,1,26.65,57.05,3
1605183138.823,1,26.04,57.03,1
1605183139.825,1,29.48,57.04,3
1605183140.824,1,33.82,57.05,3
1605183141.829,1,33.1,57.06,3
1605183143.254,1,39.09,57.04,3
1605183144.696,1,36.61,57.03,3
1605183146.164,1,27.11,57.04,3
1605183147.649,1,26.07,57.04,3
1605183149.083,1,28.88,57.05,4
1605183150.558,1,29.8,57.07,3
1605183152.048,1,33.69,57.07,4
1605183153.493,1,38.77,57.07,4
1605183154.923,1,37.0,57.06,4
1605183156.383,1,36.58,57.06,4
1605183157.843,1,33.68,57.06,4
1605183159.365,1,37.1,57.06,4
1605183160.824,1,33.5,57.08,4
1605183162.294,1,31.3,57.08,4
1605183163.727,1,32.67,57.09,4
1605183165.155,1,33.32,57.09,3
1605183166.564,1,30.4,57.09,3
1605183167.673,1,31.79,57.1,4
1605183168.652,1,30.57,57.08,3
1605183169.651,1,32.05,57.08,2
1605183170.651,1,29.98,57.09,4
1605183171.672,1,28.72,57.09,3
1605183172.671,1,29.33,57.08,3
1605183173.675,1,25.25,57.09,3
1605183174.672,1,28.58,57.09,3
1605183175.674,1,28.34,57.08,3
1605183176.671,1,21.4,57.07,4
1605183177.677,1,24.37,57.06,3
1605183178.674,1,25.63,57.07,3
1605183179.672,1,28.16,57.1,4
1605183180.671,1,29.0,57.09,3
1605183181.672,1,25.74,57.1,4
1605183182.671,1,27.45,57.11,3
1605183183.672,1,27.98,57.12,3
1605183184.671,1,30.56,57.11,4
1605183185.691,1,31.89,57.07,4
1605183187.022,1,27.67,57.06,4
1605183188.145,1,28.99,57.07,4
1605183189.146,1,32.53,57.08,3
1605183190.143,1,33.41,57.06,3
1605183191.145,1,29.36,57.06,4
1605183192.166,1,24.54,57.07,3
1605183193.144,1,23.47,57.07,3
1605183194.163,1,25.74,57.07,4
1605183195.172,1,29.1,57.08,4
1605183196.166,1,24.16,57.07,3
1605183197.164,1,26.01,57.06,3
1605183198.164,1,28.32,57.08,4
1605183199.165,1,27.66,57.09,4
1605183200.164,1,30.3,57.07,2
1605183201.166,1,33.72,57.1,4
1605183202.172,1,25.77,57.09,4
1605183203.166,1,28.69,57.08,4
1605183204.537,1,33.89,57.08,2
1605183205.657,1,36.72,57.08,4
1605183206.654,1,35.88,57.08,3
1605183207.653,1,34.8,57.09,2
1605183208.662,1,36.62,57.08,4
1605183209.651,1,40.44,57.08,2
1605183210.655,1,43.8,57.08,3
1605183211.65,1,40.41,57.08,4
1605183212.658,1,41.22,57.07,4
1605183214.048,1,38.27,57.08,4
1605183215.544,1,36.5,57.08,4
1605183217.043,1,30.03,57.08,4
1605183218.509,1,35.13,57.08,4
1605183219.948,1,35.12,57.08,4
1605183221.432,1,35.9,57.08,4
1605183222.89,1,33.64,57.09,4
1605183224.344,1,33.14,57.08,4
1605183225.828,1,37.95,57.16,4
1605183227.271,1,56.75,58.6,4
1605183228.78,1,83.71,59.1,4
1605183230.255,1,98.21,59.52,3
1605183231.702,1,98.68,59.77,4
1605183232.701,1,94.72,60.68,3
1605183233.697,1,100.0,61.96,2
1605183234.718,1,93.3,62.22,4
1605183235.717,1,72.15,62.46,3
1605183236.713,1,53.31,62.51,2
1605183237.715,1,46.21,62.52,4
1605183238.717,1,35.65,62.52,4
1605183239.715,1,31.51,62.54,2
1605183240.714,1,34.12,62.54,4
1605183241.716,1,32.06,62.52,4
1605183242.721,1,27.62,62.53,3
1605183243.718,1,30.5,62.53,3
1605183244.716,1,36.1,62.57,4
1605183245.72,1,36.13,62.56,4
1605183246.715,1,33.37,62.56,3
1605183247.716,1,33.82,62.57,4
1605183249.145,1,33.96,62.54,4
1605183250.212,1,35.13,62.55,4
1605183251.211,1,36.48,62.56,3
1605183252.242,1,38.6,62.57,3
1605183253.21,1,36.39,62.55,4
1605183254.202,1,41.46,62.59,3
1605183255.207,1,42.26,62.57,3
1605183256.227,1,40.52,62.56,4
1605183257.602,1,39.87,62.58,4
1605183258.657,1,42.57,62.56,4
1605183259.658,1,46.17,62.57,3
1605183260.657,1,48.47,62.56,3
1605183261.662,1,38.68,62.56,4
1605183262.662,1,37.57,62.56,3
1605183263.67,1,36.57,62.54,3
1605183264.669,1,41.09,62.57,4
1605183265.689,1,40.16,62.56,3
1605183266.831,1,43.8,62.57,3
1605183267.833,1,47.95,62.57,4
1605183268.837,1,39.17,62.58,2
1605183269.853,1,40.41,62.57,3
1605183270.857,1,39.18,62.58,4
1605183271.857,1,35.88,62.59,2
1605183272.859,1,40.34,62.6,3
1605183273.851,1,40.74,62.6,4
1605183274.852,1,41.62,62.59,4
1605183276.272,1,42.18,62.6,4
1605183277.756,1,37.81,62.6,4
1605183279.201,1,41.1,62.6,4
1605183280.662,1,40.18,62.6,5
1605183282.114,1,39.61,62.59,4
1605183283.576,1,36.38,62.6,5
1605183285.123,1,40.06,62.59,5
1605183286.601,1,38.52,62.59,5
1605183288.043,1,38.64,62.6,5
1605183289.495,1,41.41,62.61,5
1605183291.019,1,40.49,62.61,5
1605183292.569,1,42.74,62.63,5
1605183294.024,1,39.19,62.61,3
1605183295.079,1,39.27,62.6,4
1605183296.087,1,38.72,62.61,5
1605183297.083,1,35.9,62.62,2
1605183298.096,1,36.49,62.61,4
1605183299.095,1,39.52,62.6,5
1605183300.095,1,37.03,62.6,2
1605183301.095,1,38.26,62.6,5
1605183302.097,1,33.49,62.6,5
1605183303.098,1,38.15,62.6,2
1605183304.096,1,38.33,62.6,5
1605183305.097,1,36.36,62.6,5
1605183306.097,1,37.59,62.61,2
1605183307.096,1,38.16,62.6,5
1605183308.115,1,38.61,62.61,5
1605183309.118,1,38.31,62.61,4
1605183310.117,1,37.37,62.61,4
1605183311.508,1,36.62,62.62,5
1605183312.614,1,34.56,62.61,5
1605183313.617,1,34.97,62.6,4
1605183314.611,1,36.53,62.6,3
1605183315.608,1,38.7,62.6,5
1605183316.615,1,41.37,62.62,4
1605183317.63,1,37.01,62.62,3
1605183318.61,1,35.25,62.62,5
1605183319.833,1,36.64,62.64,5
1605183320.841,1,40.61,62.61,4
1605183321.841,1,40.33,62.61,3
1605183322.834,1,34.68,62.61,5
1605183323.835,1,36.13,62.62,3
1605183324.84,1,35.44,62.61,2
1605183324.905,1,35.57,62.61,3
1605183325.904,1,36.64,62.61,5
1605183326.911,1,40.2,62.61,5
1605183327.905,1,36.18,62.61,3
1605183328.906,1,36.69,62.61,4
1605183329.904,1,41.4,62.61,5
1605183330.915,1,38.84,62.61,3
1605183331.904,1,37.92,62.61,4
1605183332.904,1,38.31,62.61,5
1605183333.927,1,38.06,62.61,3
1605183334.926,1,36.71,62.6,4
1605183335.924,1,37.69,62.6,5
1605183336.926,1,41.87,62.63,5
1605183338.379,1,44.86,62.62,4
1605183339.725,1,45.6,62.62,3
1605183340.727,1,46.11,62.63,5
1605183341.723,1,46.4,62.62,3
1605183342.745,1,47.76,62.61,3
1605183343.764,1,44.52,62.64,5
1605183344.745,1,46.87,62.62,2
1605183345.745,1,47.68,62.63,4
1605183347.172,1,47.66,62.65,5
1605183348.674,1,47.32,62.64,5
1605183350.167,1,41.78,62.64,5
1605183351.693,1,43.45,62.66,5
1605183353.194,1,39.88,62.69,5
1605183354.605,1,38.1,62.69,5
1605183355.88,1,41.58,62.68,5
1605183356.879,1,39.56,62.69,4
1605183357.879,1,37.67,62.67,2
1605183358.904,1,39.28,62.66,5
1605183359.9,1,53.96,63.62,4
1605183360.906,1,78.5,64.45,2
1605183361.897,1,80.02,64.79,5
1605183362.897,1,96.82,64.75,4
1605183363.902,1,100.0,65.54,3
1605183364.907,1,97.55,65.51,5
1605183365.904,1,94.71,66.93,3
1605183366.899,1,98.92,67.56,2
1605183367.386,1,97.44,67.68,4
1605183368.415,1,89.92,67.9,3
1605183368.919,1,74.23,68.03,4
1605183369.924,1,54.87,68.15,3
1605183370.917,1,54.68,68.16,4
1605183371.915,1,51.02,68.15,4
1605183372.916,1,46.62,68.15,5
1605183374.27,1,39.8,68.16,5
1605183375.401,1,39.96,68.16,4
1605183376.397,1,39.09,68.15,5
1605183377.609,1,40.66,68.17,3
